Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22192,Tax Ret Prep Fe,0,0,0,0,0,0,108,89,31,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22193,Sales Tax Re Fe,0,0,0,0,0,39,85,354,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22193,Sales Tax Re Fe,0,0,0,0,0,2,5,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22193,Sales Tax Re Fe,0,0,0,0,0,0,45,109,274,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22193,Sales Tax Re Fe,0,0,0,0,0,5,217,434,1099,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Taxation and Finance, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22195,Equitable Shari,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,55,28,6,37,1003,1034,1994,1913,1446,1432,1177,748,895,510,1085,1006,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,5,0,0,10,194,328,28,15,21,0,0,0,11,2,2,14,15,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,182,80,58,46,36,112,13,55,97,223,120,149,118,193,233,64,87,152,222,161,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,17,13,0,0,0,0,0,9,58,29,19,5,0,0,0,29,50,38,106,41,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,0,0,0,0,0,244,21,162,1,11,0,0,20,0,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,9485,"10,300",7813,8282,7804,7395,6894,7146,7277,6558,6976,5917,5946,5697,5328,4871,4897,4464,4521,3505,2255,1793,1578,1677,1934,2205
General Government,"Veterans' Services, Division of",General Fund,General State Charges,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,"Veterans' Services, Division of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,538,559,373,865,336,407,358,405,444,455,470,548,722,607,522,656,553,532,599,553,519,383,343,362,419,326
General Government,"Veterans' Services, Division of",General Fund,Personal Service,State Operations Account,10050,State Purposes,5698,"5,161",5512,5086,4731,4937,4964,4893,4868,5570,5996,5643,5167,5148,4973,4709,4570,4818,4968,4872,4429,4647,4461,4279,4014,3953
General Government,"Veterans' Services, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,490,385,295,218,204,205,219,153,233,431,307,373,268,354,334,379,207,261,247,198,225,115,41,0,0,0
General Government,"Veterans' Services, Division of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,94,37,5,4,16,12,18,19,26,45,41,82,3,2,0,3,46,70,0,37,0,0,0,0,0,0
General Government,"Veterans' Services, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,564,107,99,128,84,96,106,101,116,161,174,197,210,276,254,207,152,145,210,146,177,136,58,0,0,0
General Government,"Veterans' Services, Division of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,804,506,504,426,386,375,385,330,421,662,794,817,781,802,735,753,736,746,724,706,552,614,239,0,0,0
General Government,"Veterans' Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,134,340,0,0,0,0,0,0,0,0
General Government,"Welfare Inspector General, Office of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,75,14,52,27,58,101,133,0,0,0,0,41,0,4,1,19,0,-8,68,0,4,30,46,38,52,0
General Government,"Welfare Inspector General, Office of",General Fund,Personal Service,State Operations Account,10050,State Purposes,626,615,619,565,511,472,219,245,287,326,313,341,351,376,670,655,572,632,643,578,344,363,290,295,270,302
General Government,"Welfare Inspector General, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
General Government,"Welfare Inspector General, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22182,OWIG Adm Reimb,0,0,0,0,0,0,6,22,46,56,92,85,0,0,0,0,0,14,26,61,0,45,0,0,0,0
General Government,"Welfare Inspector General, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22182,OWIG Adm Reimb,0,0,0,0,0,0,0,1,3,4,7,7,0,0,0,0,0,2,0,9,0,0,0,0,0,0
General Government,"Welfare Inspector General, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22182,OWIG Adm Reimb,0,0,0,0,0,0,-3,75,28,656,122,466,390,370,333,357,320,299,252,222,74,26,0,0,19,0
General Government,"Welfare Inspector General, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22182,OWIG Adm Reimb,0,0,0,0,0,0,0,43,77,108,193,240,332,323,0,0,0,41,7,82,201,167,177,164,180,0
General Government,Workers' Compensation Board,Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32218,WCB IT Bus Proc,5347,0,4824,3752,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,132,0,0,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,1882,8643,6216,7553,5371,4510,4707,3393,3585,2885,2873,2296,2046,4240,944,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,271,134,0,0,0,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21995,Workers' Compen,53220,"56,568",52395,48919,44194,46013,45500,40689,41151,43152,48822,40349,37841,36952,34578,30518,25831,25292,23810,17539,20717,16889,17514,18073,19539,13009
General Government,Workers' Compensation Board,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21995,Workers' Compen,2239,"2,899",2252,2172,1983,2295,2518,2097,2647,2787,3914,3341,2761,2720,2677,2629,2548,3007,0,2468,0,0,0,0,0,0
General Government,Workers' Compensation Board,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21995,Workers' Compen,56088,"56,129",53602,53918,58310,62386,59844,62872,69347,59011,43238,70273,67934,61586,56944,51636,52498,51679,63519,50808,53746,60015,36495,28492,21612,20091
General Government,Workers' Compensation Board,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21995,Workers' Compen,84892,"82,890",85117,82632,78723,77315,85571,84833,85890,89052,90768,87462,82586,81097,78815,75928,71412,75992,73746,71920,66244,62359,56952,52637,53081,54925
Elected Officials,"Audit and Control, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,"2,000",0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,3520,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,-18,-11,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,-60,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,0,0,0,0,0,0,0,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,32024,"32,025",32025,32025,32025,32025,32025,32025,32025,31673,32025,37755,39356,37338,36645,39674,29370,22662,17538,19495,18307,17081,15772,15109,14125,12640
Elected Officials,"Audit and Control, Department of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,25236,"26,669",24526,29991,25227,27174,27782,29619,27513,28208,24400,29068,34350,39601,43333,36375,41292,50913,46678,34296,27057,17514,9117,8143,8179,11095
Elected Officials,"Audit and Control, Department of",General Fund,Personal Service,State Operations Account,10050,State Purposes,112181,"108,084",107894,103758,101198,98621,96321,93304,93084,107384,111830,107828,98430,96408,87810,80491,75655,78098,75385,71642,61940,64077,58279,55267,54308,56387
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Fringe Benefits,Environmental Protection and Oil Spill Compensation Fund,21201,Oil Spill - DAC,427,386,346,304,288,328,336,282,274,259,210,200,221,294,240,156,218,64,127,117,108,109,87,83,69,92
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Indirect Costs,Environmental Protection and Oil Spill Compensation Fund,21201,Oil Spill - DAC,23,19,15,14,13,17,19,15,19,19,20,16,16,21,18,13,12,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Non-Personal Service,Environmental Protection and Oil Spill Compensation Fund,21201,Oil Spill - DAC,58,8,8,11,9,12,13,9,16,11,33,88,53,116,58,46,46,64,29,68,133,175,158,141,151,200
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Personal Service,Environmental Protection and Oil Spill Compensation Fund,21201,Oil Spill - DAC,667,469,579,535,522,556,624,547,560,559,522,434,457,611,584,410,406,389,399,393,342,324,316,313,253,207
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,13,0,142
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21985,Abandon Prop Au,0,0,0,0,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21985,Abandon Prop Au,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21985,Abandon Prop Au,5820,"2,906",3024,3140,3523,4054,3334,3970,3977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21985,Abandon Prop Au,10386,"8,057",8376,9388,7865,7913,7624,7411,7194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219CJ,Payroll Sys Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,15938,2584,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219CJ,Payroll Sys Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,499,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22035,Diabetes Resear,0,0,0,0,0,50,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22039,OSDC Finan Over,1770,"1,653",1331,1301,1206,1306,1340,1205,1162,1123,990,1007,919,926,955,760,726,646,716,643,519,596,599,793,681,908
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22039,OSDC Finan Over,76,83,58,59,56,66,74,66,80,82,91,82,67,68,73,66,55,0,0,0,0,0,0,0,0,0
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22039,OSDC Finan Over,125,84,69,96,61,131,94,149,140,201,146,155,199,140,284,708,164,666,364,580,263,277,285,239,205,267
Elected Officials,"Audit and Control, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22039,OSDC Finan Over,2877,"2,119",2170,2283,2207,2261,2403,2377,2460,2377,2364,2218,1999,2009,2122,1926,1962,2219,2307,2158,1936,2072,2068,2148,2065,2213
Elected Officials,Executive Chamber,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,2465,"3,538",3581,3907,3035,3345,3206,2754,3046,1917,3605,3832,6780,4100,3752,4054,3311,4761,4858,4589,3507,3490,3091,2840,2489,1383
Elected Officials,Executive Chamber,General Fund,Personal Service,State Operations Account,10050,State Purposes,11113,"9,135",9979,10746,10669,10621,10467,10260,10210,10963,13451,15420,13387,10416,10185,9467,9140,11275,11323,10512,9651,9005,7917,7324,7086,6179
Elected Officials,Executive Chamber,Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20159,Community Relat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,67,18,29,10,8,14,2,0,0
Elected Officials,Judiciary,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,20400,"10,373",13943,0,0,0,0,0,0,0,657,1674,561,0,0,0,18122,17505,4041,2009,0,0,0,0,0,0
Elected Officials,Judiciary,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,128,2311,9640,7432,188,0,0,590,4228,-2900,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32223,Eq Sh UCS Treas,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,General Fund,General State Charges,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0
Elected Officials,Judiciary,General Fund,Non-Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,22,0,0,0,0,0
Elected Officials,Judiciary,General Fund,Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0
Elected Officials,Judiciary,General Fund,Non-Personal Service,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,135,0,0,0,0,0
Elected Officials,Judiciary,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,4000,"3,020",2974,2443,2451,2437,2446,2443,2502,4884,4643,8812,3666,1077,498,423,630,424,436,691,499,0,0,0,49,191
Elected Officials,Judiciary,General Fund,General State Charges,State Operations Account,10050,State Purposes,772800,"757,989",722048,675050,663574,636654,626535,546041,572510,542237,492583,453506,458784,429135,401245,362493,290805,254984,208510,195694,162734,153086,162400,151010,147669,130005
Elected Officials,Judiciary,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,416300,"394,009",400917,402559,387117,383101,354530,320062,322555,325748,294811,309835,303206,283011,284392,246063,243797,263008,246285,234877,216587,202031,171173,166926,169568,160591
Elected Officials,Judiciary,General Fund,Personal Service,State Operations Account,10050,State Purposes,1641300,"1,669,267",1565719,1509278,1451032,1422377,1399158,1402602,1408958,1467042,1476862,1427931,1285638,1247135,1147524,1110012,1038332,1044760,1014734,976670,863624,843264,761667,736138,723142,725587
Elected Officials,Judiciary,Special Revenue Funds - Federal,Grants to Local Gov.,Federal Block Grants Fund,25250,HHS Block Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,162,153,0,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,100,122,79,91,71,63,63,46,71,0,0,0,11,21,22,14,5,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,5400,"3,264",2870,2655,2671,1831,1960,2260,2054,396,365,50,2,169,360,338,70,15,219,344,74,0,207,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,1100,"1,007",1093,1402,901,1436,1203,928,1596,503,49,31,36,47,69,43,17,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,400,383,352,342,195,174,42,0,8,19,91,189,244,229,231,115,70,225,91,111,107,33,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,3100,"2,027",1482,1443,1550,1432,2128,2100,2752,3522,3407,3934,3292,3168,2386,2208,3984,4085,2359,1981,2806,1486,731,731,45,0
Elected Officials,Judiciary,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,800,720,680,595,543,415,357,166,303,1352,1998,1748,1876,1917,1686,973,678,532,551,577,538,184,70,62,13,38
Elected Officials,Judiciary,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Court Facilities Incentive Aid Fund,22501,CFIA Undistrib,800,867,789,712,771,766,748,605,1232,261,908,443,418,0,389,339,285,358,43,167,191,179,193,259,69,312
Elected Officials,Judiciary,Special Revenue Funds - Other,Grants to Local Gov.,Court Facilities Incentive Aid Fund,22501,CFIA Undistrib,110900,"98,541",111250,98656,112204,104992,101633,112379,111606,114914,114249,107466,102570,102888,97928,63864,79189,78664,75687,39444,31025,41066,25625,25209,22074,21716
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Court Facilities Incentive Aid Fund,22501,CFIA Undistrib,100,8,8,6,6,5,5,2,26,17,16,51,58,37,627,447,574,342,484,437,305,335,76,55,33,86
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Court Facilities Incentive Aid Fund,22501,CFIA Undistrib,1800,"1,833",1848,1795,1632,1636,1707,1636,1648,1788,1864,1748,1412,1387,1456,1446,1374,1420,1439,1138,898,907,845,867,792,657
Elected Officials,Judiciary,Special Revenue Funds - Other,Grants to Local Gov.,Indigent Legal Services,23551,Indigent Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Indigent Legal Services,23551,Indigent Legal,25000,"25,000",25000,22601,33000,25000,12755,20245,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Judiciary Data Processing Offset Fund,23201,Jud Data Proc O,10000,"8,508",8619,8352,8381,7866,7317,6110,4642,2520,7594,3703,3500,3250,0,0,0,0,1249,1544,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Judiciary Data Processing Offset Fund,23201,Jud Data Proc O,0,"2,654",8376,5972,8302,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Judiciary Data Processing Offset Fund,23201,Jud Data Proc O,26400,"19,438",18459,18546,18622,17843,16679,16603,16487,17644,18264,17442,15468,14748,13756,12850,11348,11338,10287,9296,8235,11990,3200,4685,2300,2158
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Lawyers Fund for Client Protection,21301,CSF Regis Fee,200,233,237,225,219,208,159,132,153,32,196,98,98,98,7807,5184,5753,5882,2400,94,98,99,98,136,54,95
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Lawyers Fund for Client Protection,21301,CSF Regis Fee,12200,"5,880",10723,9840,11901,6508,7323,5480,6903,8194,6464,6379,7278,7276,117,106,122,107,3643,9504,4151,5700,3981,6787,2217,4485
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Lawyers Fund for Client Protection,21301,CSF Regis Fee,500,652,685,651,634,606,616,574,522,500,537,493,483,493,365,359,318,310,326,348,403,392,364,345,317,316
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219AO,Manhattan Drug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,34,0,19,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219AO,Manhattan Drug,0,0,0,0,0,0,0,0,0,0,0,0,7,43,53,68,50,52,32,62,3,37,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219AO,Manhattan Drug,0,0,0,0,0,0,0,0,0,0,0,0,93,427,378,340,260,343,323,389,0,70,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219JD,Problm Solv Cou,0,0,0,0,0,0,0,0,188,0,0,0,0,10,6,21,31,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219JD,Problm Solv Cou,0,0,0,0,0,0,0,0,202,4,15,0,0,92,9,3,511,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219JD,Problm Solv Cou,0,0,0,0,0,0,0,0,464,0,0,0,0,29,17,70,111,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219RC,Drug Treat Ct T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219RE,Erie Co Fam Cou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219RE,Erie Co Fam Cou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,2,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219RE,Erie Co Fam Cou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219ZQ,Nassau County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,191,152
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219ZQ,Nassau County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,213,287,269
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22008,Courts Special,2500,917,2053,1300,608,589,51,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22008,Courts Special,0,23,0,0,0,-16,100,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elected Officials,Judiciary,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22012,Atty Licensing,8400,"8,356",8072,7630,2907,4453,7345,6246,7541,2529,8142,0,4071,0,3780,0,15,986,766,1891,1850,3584,360,2678,445,1695
Elected Officials,Judiciary,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22012,Atty Licensing,6400,"5,827",6290,5753,5262,6135,5736,5242,5584,6582,6127,6553,6554,6345,5605,5494,4780,5034,4679,4169,4113,5680,5327,6528,6877,6305
